3-1	3	{"en": "Rp 339K for full day", "id": "339k untuk Full Day", "zh": "全天 Rp 339K"}	0
3-2	3	{"en": "Additional Rp 49K/hour", "id": "Additional 49k/jam", "zh": "额外 Rp 49K/小时"}	1
3-3	3	{"en": "Mineral water", "id": "Air Mineral", "zh": "矿泉水"}	2
3-4	3	{"en": "Free Wi-Fi", "id": "Free Wifi", "zh": "免费 Wi-Fi"}	3
3-5	3	{"en": "Smart TV & AC", "id": "Smart TV & AC", "zh": "智能电视与空调"}	4
21-12	21	{"en": "Integrasi Google Maps", "id": "Integrasi Google Maps", "zh": "Integrasi Google Maps"}	11
21-13	21	{"en": "Integrasi Analytics", "id": "Integrasi Analytics", "zh": "Integrasi Analytics"}	12
21-14	21	{"en": "Optimasi Konversi Leads", "id": "Optimasi Konversi Leads", "zh": "Optimasi Konversi Leads"}	13
21-15	21	{"en": "Revisi 3x", "id": "Revisi 3x", "zh": "Revisi 3x"}	14
21-16	21	{"en": "Lifetime Technical Support", "id": "Lifetime Technical Support", "zh": "Lifetime Technical Support"}	15
21-17	21	{"en": "Cocok untuk kontraktor, konsultan, klinik, distributor, perusahaan jasa, dan startup", "id": "Cocok untuk kontraktor, konsultan, klinik, distributor, perusahaan jasa, dan startup", "zh": "Cocok untuk kontraktor, konsultan, klinik, distributor, perusahaan jasa, dan startup"}	16
22-1	22	{"en": "All Professional features", "id": "Semua Fitur Professional", "zh": "包含 Professional 全部功能"}	0
22-2	22	{"en": "CMS admin dashboard", "id": "CMS Admin Dashboard", "zh": "CMS 管理后台"}	1
22-3	22	{"en": "Dynamic content management", "id": "Dynamic Content Management", "zh": "动态内容管理"}	2
22-4	22	{"en": "Blog management system and SEO articles", "id": "Blog Management System", "zh": "博客管理系统和 SEO 文章"}	3
22-5	22	{"en": "Product catalog and portfolio management", "id": "Artikel SEO", "zh": "产品目录和作品管理"}	4
22-6	22	{"en": "Dynamic landing pages", "id": "Katalog Produk", "zh": "动态落地页"}	5
22-7	22	{"en": "Managed hosting & server", "id": "Manajemen Portfolio", "zh": "托管主机与服务器"}	6
22-8	22	{"en": "1 professional email", "id": "Dynamic Landing Pages", "zh": "1 个专业邮箱"}	7
22-9	22	{"en": "User access management", "id": "Managed Hosting & Server", "zh": "用户权限管理"}	8
22-10	22	{"en": "Form database integration", "id": "1 Professional Email", "zh": "表单数据库整合"}	9
22-11	22	{"en": "On-page SEO optimization", "id": "User Access Management", "zh": "站内 SEO 优化"}	10
22-12	22	{"en": "4 revisions", "id": "Integrasi Form Database", "zh": "4 次修改"}	11
22-13	22	{"en": "Lifetime technical support", "id": "Optimasi SEO On-Page", "zh": "终身技术支持"}	12
22-14	22	{"en": "Suitable for national companies, property developers, distributors, manufacturers, corporate websites, media, and publishing", "id": "Revisi 4x", "zh": "适合全国性公司、地产开发商、分销商、制造商、企业官网、媒体和出版"}	13
22-15	22	{"en": "Lifetime Technical Support", "id": "Lifetime Technical Support", "zh": "Lifetime Technical Support"}	14
22-16	22	{"en": "Cocok untuk perusahaan nasional, developer property, distributor, manufacturer, corporate website, media, dan publishing", "id": "Cocok untuk perusahaan nasional, developer property, distributor, manufacturer, corporate website, media, dan publishing", "zh": "Cocok untuk perusahaan nasional, developer property, distributor, manufacturer, corporate website, media, dan publishing"}	15
23-1	23	{"en": "All Business features", "id": "Semua Fitur Business", "zh": "包含 Business 全部功能"}	0
23-2	23	{"en": "Custom feature development", "id": "Custom Feature Development", "zh": "自定义功能开发"}	1
23-3	23	{"en": "Internal dashboard", "id": "Dashboard Internal", "zh": "内部仪表盘"}	2
23-4	23	{"en": "Multi user role", "id": "Multi User Role", "zh": "多用户角色"}	3
23-5	23	{"en": "Client portal", "id": "Client Portal", "zh": "客户门户"}	4
23-6	23	{"en": "Membership system", "id": "Membership System", "zh": "会员系统"}	5
23-7	23	{"en": "Payment gateway", "id": "Payment Gateway", "zh": "支付网关"}	6
23-8	23	{"en": "API integration", "id": "API Integration", "zh": "API 整合"}	7
23-9	23	{"en": "ERP / CRM integration", "id": "ERP / CRM Integration", "zh": "ERP / CRM 整合"}	8
23-10	23	{"en": "Multi branch system", "id": "Multi Branch System", "zh": "多分支系统"}	9
23-11	23	{"en": "Custom workflow", "id": "Custom Workflow", "zh": "自定义工作流"}	10
23-12	23	{"en": "Advanced security layer", "id": "Advanced Security Layer", "zh": "高级安全层"}	11
23-13	23	{"en": "Dedicated project manager", "id": "Dedicated Project Manager", "zh": "专属项目经理"}	12
23-14	23	{"en": "Priority support", "id": "Priority Support", "zh": "优先支持"}	13
23-15	23	{"en": "Scalability consultation", "id": "Scalability Consultation", "zh": "可扩展性咨询"}	14
23-16	23	{"en": "Suitable for e-commerce, SaaS platforms, marketplaces, internal systems, ERP, monitoring dashboards, and technology startups", "id": "Cocok untuk e-commerce, SaaS platform, marketplace, internal system, ERP, dashboard monitoring, dan startup technology", "zh": "适合电商、SaaS 平台、Marketplace、内部系统、ERP、监控仪表盘和科技初创企业"}	15
4-1	4	{"en": "Rp 629K full day", "id": "629k full day", "zh": "全天 Rp 629K"}	0
4-2	4	{"en": "8–10 pax", "id": "8-10 pax", "zh": "8–10 人"}	1
4-3	4	{"en": "Additional Rp 89K/hour", "id": "Additional 89k/jam", "zh": "额外 Rp 89K/小时"}	2
4-4	4	{"en": "Mineral water", "id": "Air Mineral", "zh": "矿泉水"}	3
4-5	4	{"en": "Free Wi-Fi", "id": "Free Wifi", "zh": "免费 Wi-Fi"}	4
4-6	4	{"en": "Smart TV & AC", "id": "Smart TV & AC", "zh": "智能电视与空调"}	5
5-1	5	{"en": "Company establishment deed", "id": "Akta Pendirian Perusahaan", "zh": "公司设立公证书"}	0
5-2	5	{"en": "Company profile", "id": "Company Profile", "zh": "公司简介"}	1
5-3	5	{"en": "Corporate Coretax", "id": "Coretax Badan", "zh": "企业 Coretax"}	2
5-4	5	{"en": "Free Gmail account", "id": "Free Account Gmail", "zh": "免费 Gmail 账号"}	3
5-5	5	{"en": "Free consultation", "id": "Free Konsultasi", "zh": "免费咨询"}	4
5-6	5	{"en": "Free company stamp", "id": "Free Stempel Nama Perusahaan", "zh": "免费公司印章"}	5
5-7	5	{"en": "Free financial report template", "id": "Free Template Laporan Keuangan", "zh": "免费财务报表模板"}	6
5-8	5	{"en": "OSS access rights", "id": "Hak Akses OSS", "zh": "OSS 访问权限"}	7
5-9	5	{"en": "Invoice", "id": "Invoice", "zh": "发票"}	8
5-10	5	{"en": "Business cards", "id": "Kartu Nama", "zh": "名片"}	9
5-11	5	{"en": "Letterhead", "id": "Kop Surat", "zh": "公司信纸"}	10
5-12	5	{"en": "Company logo", "id": "Logo Perusahaan", "zh": "公司标志"}	11
5-13	5	{"en": "Company tax ID", "id": "NPWP Badan", "zh": "公司税号"}	12
5-14	5	{"en": "Business Identification Number (NIB)", "id": "Nomor Induk Berusaha (NIB)", "zh": "营业识别号 (NIB)"}	13
